nct_id,drug_name,approval_type,approval_date,approval_year,sponsor
NCT03738800,Guselkumab,SUPPL,20250926,2025,JANSSEN BIOTECH
NCT02024555,Levofloxacin,ORIG,20201230,2020,GLAND
NCT02024555,Ethambutol,ORIG,20090617,2009,LUPIN
NCT02024555,Azithromycin,SUPPL,20120228,2012,PLIVA
NCT02024555,Rifampin,SUPPL,20220114,2022,EPIC PHARMA LLC
NCT01169038,Levofloxacin,ORIG,20201230,2020,GLAND
NCT01169038,Ethambutol,ORIG,20090617,2009,LUPIN
NCT01169038,Azithromycin,SUPPL,20120228,2012,PLIVA
NCT01169038,Rifampin,SUPPL,20220114,2022,EPIC PHARMA LLC
NCT01169038,ethambutol,ORIG,20090617,2009,LUPIN
NCT01169038,rifampin and azithromycin.,ORIG,20260406,2026,MACLEODS PHARMS LTD
NCT01074554,Levofloxacin,ORIG,20201230,2020,GLAND
NCT01074554,Ethambutol,ORIG,20090617,2009,LUPIN
NCT01074554,Azithromycin,SUPPL,20120228,2012,PLIVA
NCT01074554,Rifampin,SUPPL,20220114,2022,EPIC PHARMA LLC
NCT01074554,ethambutol,ORIG,20090617,2009,LUPIN
NCT01074554,rifampin and azithromycin.,ORIG,20260406,2026,MACLEODS PHARMS LTD
NCT05713799,Alpha-lipoic acid,ORIG,20190725,2019,AUROBINDO PHARMA LTD
NCT05713799,Mirabegron,ORIG,20220928,2022,LUPIN
NCT03049462,Alpha-lipoic acid,ORIG,20190725,2019,AUROBINDO PHARMA LTD
NCT03049462,Mirabegron,ORIG,20220928,2022,LUPIN
NCT02692885,Alpha-lipoic acid,ORIG,20190725,2019,AUROBINDO PHARMA LTD
NCT02692885,Mirabegron,ORIG,20220928,2022,LUPIN
NCT01783470,Alpha-lipoic acid,ORIG,20190725,2019,AUROBINDO PHARMA LTD
NCT01783470,Mirabegron,ORIG,20220928,2022,LUPIN
NCT00712296,ASHMI 4,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT00712296,ASHMI 12,SUPPL,20171221,2017,KENVUE BRANDS
NCT00601263,ASHMI 4,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT00601263,ASHMI 12,SUPPL,20171221,2017,KENVUE BRANDS
NCT01164098,Rituximab,SUPPL,20200529,2020,CELLTRION INC
NCT01443923,Peg-Interferon-alfa 2B,SUPPL,20211013,2021,PPI-DAC
NCT01443923,Ribavirin,SUPPL,19940926,1994,BAUSCH
NCT01441180,Peg-Interferon-alfa 2B,SUPPL,20211013,2021,PPI-DAC
NCT01441180,Ribavirin,SUPPL,19940926,1994,BAUSCH
NCT01182298,Peg-Interferon-alfa 2B,SUPPL,20211013,2021,PPI-DAC
NCT01182298,Ribavirin,SUPPL,19940926,1994,BAUSCH
